,nom,public_prive,commune,departement,ips,taux_mention_bien+
5344,FENELON,PRIVE,ELBEUF,SEINE MARITIME,116.8,54.1
5345,LA GUICHARDE,PUBLIC,SANARY-SUR-MER,VAR,116.8,44.1
5346,SAINT CHARLES,PRIVE,VIENNE,ISERE,116.9,74.1
5347,LUCIE ET RAYMOND AUBRAC,PUBLIC,LUYNES,INDRE-ET-LOIRE,116.9,58.8
5348,MARIE MAURON,PUBLIC,PERTUIS,VAUCLUSE,116.9,51.9
5349,CONDORCET,PUBLIC,NAILLOUX,HAUTE-GARONNE,116.9,52.8
5350,NELSON MANDELA,PUBLIC,VERNY,MOSELLE,116.9,58.5
5351,JEAN MONNET,PUBLIC,LUISANT,EURE-ET-LOIR,116.9,53.4
5352,LE GRAND SOM,PUBLIC,SAINT-LAURENT-DU-PONT,ISERE,116.9,55.8
5353,ECHANGE,PUBLIC,RENNES,ILLE-ET-VILAINE,116.9,65.6
5354,DU PONT DE BOIS,PUBLIC,SAINT-CHERON,ESSONNE,116.9,42.5
5355,OUDINOT,PRIVE,CHAUMONT,HAUTE-MARNE,116.9,64.8
5356,DU BERNSTEIN,PUBLIC,DAMBACH-LA-VILLE,BAS-RHIN,116.9,59.7
5357,ST MARTIN,PRIVE,BENET,VENDEE,116.9,50.7
5358,CHARLES PEGUY,PUBLIC,BONDOUFLE,ESSONNE,116.9,40.5
5359,STE MARIE,PRIVE,VITRE,ILLE-ET-VILAINE,117.0,68.7
5360,DAISY GEORGES MARTIN,PUBLIC,IRIGNY,RHONE,117.0,55.4
5361,INSTITUTION STE PHILOMENE,PRIVE,HAGUENAU,BAS-RHIN,117.0,74.1
5362,GEORGES BRASSENS,PUBLIC,LE RHEU,ILLE-ET-VILAINE,117.0,66.5
5363,INSTITUTION NOTRE DAME,PRIVE,STRASBOURG,BAS-RHIN,117.0,72.2
5364,SAINT JOSEPH,PRIVE,CHERBOURG-EN-COTENTIN,MANCHE,117.0,59.2
5365,HENRI MATISSE,PUBLIC,SAINT-MAXIMIN-LA-SAINTE-BAUME,VAR,117.0,44.8
5366,GEORGES BRASSENS,PUBLIC,EPOUVILLE,SEINE MARITIME,117.0,53.9
5367,RAOUL DUFY,PUBLIC,NICE,ALPES-MARITIMES,117.0,57.5
5368,PONT ROUSSEAU,PUBLIC,REZE,LOIRE-ATLANTIQUE,117.0,54.1
5369,ADVENTISTE RAMA,PRIVE,SAINTE-LUCE,MARTINIQUE,117.0,50.4
5370,NOTRE-DAME SAINT LOUIS,PRIVE,LOUVIERS,EURE,117.0,60.8
5371,SAINT ANDRE,PRIVE,NOGENT-SUR-MARNE,VAL-DE-MARNE,117.0,62.8
5372,CHAMBERTIN,PRIVE,ASNIERES-SUR-SEINE,HAUTS-DE-SEINE,117.1,71.8
5373,MONTESQUIEU,PUBLIC,BEAUCHAMP,VAL-D'OISE,117.1,52.9
5374,JACQUELINE AURIOL,PUBLIC,VILLENEUVE-TOLOSANE,HAUTE-GARONNE,117.1,49.9
5375,AUGUSTE MAILLOUX,PUBLIC,LE LOROUX-BOTTEREAU,LOIRE-ATLANTIQUE,117.1,57.4
5376,JEAN DE LA VARENDE,PUBLIC,MONT-SAINT-AIGNAN,SEINE MARITIME,117.1,72.6
5377,ND DU BRETONNAIS,PRIVE,CHOLET,MAINE-ET-LOIRE,117.1,51.5
5378,EXTERNAT SAINT JOSEPH,PRIVE,CAYENNE,GUYANE,117.1,54.5
5379,LE ROCHAT,PUBLIC,LES ROUSSES,JURA,117.1,55.6
5380,SAINT EXUPERY,PUBLIC,VANVES,HAUTS-DE-SEINE,117.1,58.1
5381,MARCELLIN BERTHELOT,PUBLIC,BEGLES,GIRONDE,117.1,64.6
5382,LA CRAFFE,PUBLIC,NANCY,MEURTHE-ET-MOSELLE,117.2,72.3
5383,AMIRAL MERVEILLEUX DU VIGNAUX,PRIVE,CHATEAU-D'OLONNE,VENDEE,117.2,55.4
5384,KERZOUAR,PUBLIC,SAINT-RENAN,FINISTERE,117.2,64.5
5385,ST YVES,PRIVE,MORDELLES,ILLE-ET-VILAINE,117.2,66.6
5386,SAINT SACREMENT,PRIVE,AUTUN,SAONE-ET-LOIRE,117.2,66.5
5387,JEAN ROSTAND,PUBLIC,BALMA,HAUTE-GARONNE,117.2,58.3
5388,SAINT ROCH,PRIVE,MONTPELLIER,HERAULT,117.2,64.1
5389,VICTOR HUGO,PUBLIC,COLMAR,HAUT-RHIN,117.2,73.9
5390,TAISON,PUBLIC,METZ,MOSELLE,117.2,67.5
5391,NOTRE DAME,PRIVE,ALENCON,ORNE,117.2,46.4
5392,VAL DES PINS,PUBLIC,LE TEICH,GIRONDE,117.2,59.1
5393,JACQUES DECOUR,PUBLIC,PARIS  9E  ARRONDISSEMENT,PARIS,117.2,66.8
5394,ROSA PARKS,PUBLIC,CLISSON,LOIRE-ATLANTIQUE,117.2,49.0
5395,ST HERMELAND,PRIVE,BOUAYE,LOIRE-ATLANTIQUE,117.3,51.4
5396,DES BAUGES,PUBLIC,LE CHATELARD,SAVOIE,117.3,50.3
5397,NOTRE DAME,PRIVE,LA MONTAGNE,LOIRE-ATLANTIQUE,117.3,49.1
5398,SAINT VIATEUR - CANAGUET,PRIVE,ONET-LE-CHATEAU,AVEYRON,117.3,48.8
5399,MISSY,PUBLIC,LA ROCHELLE,CHARENTE-MARITIME,117.3,57.7
5400,LISETTE MOUTACHY,PRIVE,LE LAMENTIN,MARTINIQUE,117.3,42.0
5401,PAUL ARENE,PUBLIC,PEYMEINADE,ALPES-MARITIMES,117.3,45.0
5402,ST JOSEPH - BOSSUET,PRIVE,LANNION,COTES D'ARMOR,117.3,62.9
5403,DE L AUBANCE,PUBLIC,BRISSAC LOIRE AUBANCE,MAINE-ET-LOIRE,117.4,56.3
5404,JEANNE D'ARC,PRIVE,PARAY-LE-MONIAL,SAONE-ET-LOIRE,117.4,57.3
5405,STE MARIE ST DOMINIQUE,PRIVE,BOURGES,CHER,117.4,64.2
5406,CLAUDIE HAIGNERE,PUBLIC,ROCHEFORT-DU-GARD,GARD,117.4,63.1
5407,VICTOR HUGO,PUBLIC,TARBES,HAUTES-PYRENEES,117.4,58.7
5408,STEPHANE HESSEL,PUBLIC,SAINT-GERMAIN-SUR-MORIN,SEINE-ET-MARNE,117.4,52.0
5409,EDMOND DE GONCOURT,PUBLIC,PULNOY,MEURTHE-ET-MOSELLE,117.4,63.8
5410,LEONARD DE VINCI,PUBLIC,SAINT-THIBAULT-DES-VIGNES,SEINE-ET-MARNE,117.4,55.7
5411,NOTRE DAME,PRIVE,COSNE-COURS-SUR-LOIRE,NIEVRE,117.4,52.0
5412,ST JACQUES DE COMPOSTELLE,PRIVE,DAX,LANDES,117.5,63.2
5413,EMILE ZOLA,PUBLIC,VERNOUILLET,YVELINES,117.5,58.2
5414,SIMIN PALAY,PUBLIC,LESCAR,PYRENEES-ATLANTIQUES,117.5,60.7
5415,MARIA CALLAS,PUBLIC,COURTRY,SEINE-ET-MARNE,117.5,52.0
5416,LAMARTINE,PUBLIC,CREMIEU,ISERE,117.5,61.1
5417,ROGER VERCEL,PUBLIC,LE MANS,SARTHE,117.5,61.6
5418,SAINT-JOSEPH,PRIVE,LECTOURE,GERS,117.5,55.0
5419,RENE SEYSSAUD,PUBLIC,SAINT-CHAMAS,BOUCHES-DU-RHONE,117.5,50.0
5420,MARCEL PAGNOL,PUBLIC,MONTSOULT,VAL-D'OISE,117.5,44.6
5421,ALFRED KASTLER,PUBLIC,MERVILLE-FRANCEVILLE-PLAGE,CALVADOS,117.6,62.2
5422,FONT DE FILLOL,PUBLIC,SIX-FOURS-LES-PLAGES,VAR,117.6,45.5
5423,LAURE GATET,PUBLIC,PERIGUEUX,DORDOGNE,117.6,63.3
5424,JEAN MOULIN,PUBLIC,CAEN,CALVADOS,117.6,53.1
5425,OLYMPE DE GOUGES,PUBLIC,PLAN-DE-CUQUES,BOUCHES-DU-RHONE,117.6,53.3
5426,INSTITUTION CHAMPAGNAT,PRIVE,ISSENHEIM,HAUT-RHIN,117.6,64.8
5427,ADRIENNE BOLLAND,PUBLIC,BESSIERES,HAUTE-GARONNE,117.6,48.6
5428,ST AUGUSTIN,PRIVE,ANGERS,MAINE-ET-LOIRE,117.6,55.0
5429,JACQUES PREVERT,PUBLIC,HEYRIEUX,ISERE,117.6,47.6
5430,LES GATINES-RENE CASSIN,PUBLIC,SAVIGNY-SUR-ORGE,ESSONNE,117.6,51.1
5431,MARIE PILA GARCONS,PRIVE,CARPENTRAS,VAUCLUSE,117.7,58.2
5432,LE ROUSSAY,PUBLIC,ETRECHY,ESSONNE,117.7,42.5
5433,GEORGES BRAQUE,PUBLIC,PARIS 13E  ARRONDISSEMENT,PARIS,117.7,59.2
5434,IMMAC.CONCEPT.BEAU FRENE,PRIVE,PAU,PYRENEES-ATLANTIQUES,117.7,72.8
5435,LOUISE MICHEL,PUBLIC,L'ISLE-JOURDAIN,GERS,117.7,52.7
5436,PAYS DES SORGUES (DU),PUBLIC,LE THOR,VAUCLUSE,117.7,50.4
5437,LE MIRAIL,PRIVE,BORDEAUX,GIRONDE,117.7,38.3
5438,SAINT-GUILHEM,PRIVE,CLERMONT-L'HERAULT,HERAULT,117.7,72.8
5439,ALBERT CAMUS,PUBLIC,MOULINS-LES-METZ,MOSELLE,117.7,63.8
5440,SAINTE ODILE,PRIVE,LAMBERSART,NORD,117.7,53.9
5441,JEAN-FRANCOIS OEBEN,PUBLIC,PARIS 12E  ARRONDISSEMENT,PARIS,117.8,73.3
5442,FRANCOISE DOLTO,PUBLIC,LA JARRIE,CHARENTE-MARITIME,117.8,61.6
5443,NOTRE DAME SEVIGNE,PRIVE,TALENCE,GIRONDE,117.8,61.4
5444,ST JOSEPH DE CLUNY,PRIVE,FORT-DE-FRANCE,MARTINIQUE,117.8,84.5
5445,CANTELAUZE,PUBLIC,FONSORBES,HAUTE-GARONNE,117.8,67.1
5446,CAMILLE SAINT-SAENS,PUBLIC,ROUEN,SEINE MARITIME,117.8,58.5
5447,SOUTINE,PUBLIC,SAINT-PREST,EURE-ET-LOIR,117.8,55.7
5448,LA SIDOINE,PRIVE,TREVOUX,AIN,117.8,52.0
5449,JEAN MERMOZ,PUBLIC,BARBY,SAVOIE,117.8,62.9
5450,BLAISE PASCAL,PUBLIC,VIARMES,VAL-D'OISE,117.8,50.3
5451,LA CHENAIE,PUBLIC,MOUANS-SARTOUX,ALPES-MARITIMES,117.8,49.9
5452,ARTHUR RIMBAUD,PUBLIC,MIREBEAU-SUR-BEZE,COTE D'OR,117.9,54.0
5453,JEANNE DE LA TREILHE,PUBLIC,AURILLAC,CANTAL,117.9,54.2
5454,HAUTS DE L ARC (LES),PUBLIC,TRETS,BOUCHES-DU-RHONE,117.9,55.8
5455,CHAMPAGNAT,PRIVE,L'ARBRESLE,RHONE,117.9,61.1
5456,PAUL RICOEUR,PRIVE,LOUVRES,VAL-D'OISE,117.9,56.9
5457,BOBEE,PRIVE,YVETOT,SEINE MARITIME,117.9,58.8
5458,CHEVREUL,PUBLIC,ANGERS,MAINE-ET-LOIRE,117.9,61.1
5459,SAINT JOSEPH,PRIVE,VENDOME,LOIR-ET-CHER,117.9,50.2
5460,PIERRE MENDES-FRANCE,PUBLIC,LABARTHE-SUR-LEZE,HAUTE-GARONNE,117.9,58.4
5461,VAL DE SEILLE,PUBLIC,NOMENY,MEURTHE-ET-MOSELLE,117.9,60.7
5462,PIARRES LARZABAL,PRIVE,CIBOURE,PYRENEES-ATLANTIQUES,117.9,62.7
5463,VOLTAIRE,PUBLIC,SANNOIS,VAL-D'OISE,117.9,42.3
5464,LE REVARD,PUBLIC,GRESY-SUR-AIX,SAVOIE,118.0,56.2
5465,ANDRE MALRAUX,PUBLIC,VOREPPE,ISERE,118.0,56.0
5466,STE ANNE,PRIVE,SAINTE-ANNE-D'AURAY,MORBIHAN,118.0,63.0
5467,LE RONDEAU,PUBLIC,RAMBOUILLET,YVELINES,118.0,40.0
5468,LAMORICIERE,PRIVE,SAINT-PHILBERT-DE-GRAND-LIEU,LOIRE-ATLANTIQUE,118.0,54.8
5469,NOTRE-DAME,PRIVE,SAINT-SAULVE,NORD,118.0,72.8
5470,CONDORCET,PUBLIC,MAISONS-ALFORT,VAL-DE-MARNE,118.0,59.7
5471,COURS SAINT JOSEPH - NOTRE-DAM,PRIVE,ROUEN,SEINE MARITIME,118.0,41.4
5472,SPORT NATURE,PUBLIC,LA CANOURGUE,LOZERE,118.0,47.4
5473,PABLO PICASSO,PUBLIC,FROUZINS,HAUTE-GARONNE,118.0,58.8
5474,ARETHA FRANKLIN,PUBLIC,MARCIAC,GERS,118.0,59.9
5475,LS RECOLLETS INST N-D LA RICHE,PRIVE,TOURS,INDRE-ET-LOIRE,118.0,49.5
5476,MOLIERE,PUBLIC,PARIS 16E  ARRONDISSEMENT,PARIS,118.0,58.0
5477,L'EGANAUDE,PUBLIC,BIOT,ALPES-MARITIMES,118.1,66.5
5478,GERARD PHILIPE,PUBLIC,NIORT,DEUX-SEVRES,118.1,58.0
5479,FRANCOIS COUPERIN,PUBLIC,FONTAINEBLEAU,SEINE-ET-MARNE,118.1,60.8
5480,SAINT MARTIN,PRIVE,NIEPPE,NORD,118.1,62.9
5481,THEODORE MONOD,PUBLIC,LESQUIN,NORD,118.1,58.3
5482,INSTITUTION LA SALLE - ST JEAN,PRIVE,PERPIGNAN,PYRENEES-ORIENTALES,118.1,63.2
5483,JEANNE D'ARC,PRIVE,VERRIERES-EN-ANJOU,MAINE-ET-LOIRE,118.1,58.1
5484,NATHAN KATZ,PUBLIC,BURNHAUPT-LE-HAUT,HAUT-RHIN,118.1,60.6
5485,LA MOULINIERE,PUBLIC,DOMENE,ISERE,118.2,53.6
5486,LUCIE AUBRAC,PUBLIC,EYGUIERES,BOUCHES-DU-RHONE,118.2,53.8
5487,OLYMPE DE GOUGES,PUBLIC,CHAMPCUEIL,ESSONNE,118.2,57.8
5488,GASTON HUET,PUBLIC,VOUVRAY,INDRE-ET-LOIRE,118.2,52.1
5489,ASSOMPTION,PRIVE,BONDY,SEINE-SAINT-DENIS,118.2,45.5
5490,LA BUSSIE,PUBLIC,VAUREAL,VAL-D'OISE,118.2,54.5
5491,DE MONTCEAUX,PUBLIC,MONTCEAUX,AIN,118.2,51.9
5492,DU FEZENSAGUET,PUBLIC,MAUVEZIN,GERS,118.3,50.6
5493,JEAN ROSTAND,PUBLIC,BIARRITZ,PYRENEES-ATLANTIQUES,118.3,53.9
5494,JEAN DE LA FONTAINE,PUBLIC,GEISPOLSHEIM,BAS-RHIN,118.3,70.1
5495,INTERNATIONAL DE L'ESPLANADE,PUBLIC,STRASBOURG,BAS-RHIN,118.3,65.9
5496,SAINT MICHEL,PRIVE,DIJON,COTE D'OR,118.3,71.3
5497,EMILE AUVRAY,PUBLIC,DOURDAN,ESSONNE,118.3,49.8
5498,BELLEVUE,PUBLIC,CROSNE,ESSONNE,118.3,47.7
5499,O R T,PRIVE,VILLIERS-LE-BEL,VAL-D'OISE,118.3,40.5
5500,SAINTE JEANNE D'ARC,PRIVE,LAVENTIE,PAS-DE-CALAIS,118.4,73.1
5501,FREDERIC CHOPIN,PUBLIC,NANCY,MEURTHE-ET-MOSELLE,118.4,63.7
5502,ALEXANDRE FLEMING,PUBLIC,SASSENAGE,ISERE,118.4,54.3
5503,GUSTAVE DORE,PUBLIC,HOCHFELDEN,BAS-RHIN,118.4,62.1
5504,SAINT JOSEPH,PRIVE,CACHAN,VAL-DE-MARNE,118.4,47.5
5505,SAINT-VICTRICE,PRIVE,BIHOREL,SEINE MARITIME,118.4,64.2
5506,THEOPHRASTE RENAUDOT,PUBLIC,SAINT-BENOIT,VIENNE,118.4,58.0
5507,PASTEUR,PUBLIC,YVRE-L'EVEQUE,SARTHE,118.4,66.7
5508,LOUIS LACHENAL,PUBLIC,SAINT-LAURENT-DE-MURE,RHONE,118.4,54.4
5509,FELIX AUNAC,PRIVE,AGEN,LOT-ET-GARONNE,118.5,55.4
5510,SAINTE-MARIE,PRIVE,ALBI,TARN,118.5,59.5
5511,SAINT-GERMAIN DE CHARONNE,PRIVE,PARIS 20E  ARRONDISSEMENT,PARIS,118.5,62.7
5512,ST JEAN-BAPTISTE DE LA SALLE,PRIVE,CHARLEVILLE-MEZIERES,ARDENNES,118.5,67.4
5513,JEAN VILAR,PUBLIC,HERBLAY,VAL-D'OISE,118.5,47.6
5514,CLAUDE CORNAC,PUBLIC,GRATENTOUR,HAUTE-GARONNE,118.5,53.3
5515,MICHEL CHASLES,PUBLIC,EPERNON,EURE-ET-LOIR,118.5,50.3
5516,CLAUDE-NICOLAS LEDOUX,PUBLIC,LE PLESSIS-ROBINSON,HAUTS-DE-SEINE,118.5,44.4
5517,JEAN DE TOURNES,PUBLIC,FONTAINES-SUR-SAONE,RHONE,118.5,52.6
5518,DE L ETANG DE L OR,PUBLIC,MAUGUIO,HERAULT,118.6,56.9
5519,ANNE FRANK,PUBLIC,SAINT-JUST-SAINT-RAMBERT,LOIRE,118.6,54.3
5520,ANTOINE GUICHARD,PUBLIC,VEAUCHE,LOIRE,118.6,54.9
5521,EMILE ZOLA,PUBLIC,LE HAILLAN,GIRONDE,118.6,58.9
5522,CHAMPOULANT,PUBLIC,L'ISLE-D'ABEAU,ISERE,118.6,54.7
5523,SAINT JOSEPH,PRIVE,SAINT-DIDIER-SUR-CHALARONNE,AIN,118.6,54.7
5524,MARIE PILA FILLES,PRIVE,CARPENTRAS,VAUCLUSE,118.6,66.3
5525,ROBERT DOISNEAU,PUBLIC,MONTROUGE,HAUTS-DE-SEINE,118.6,58.9
5526,NOTRE-DAME DES DUNES,PRIVE,DUNKERQUE,NORD,118.6,72.9
5527,LE LIKES - LA SALLE,PRIVE,QUIMPER,FINISTERE,118.7,64.2
5528,JEANNE D ARC,PRIVE,ROYE,SOMME,118.7,52.7
5529,NOTRE DAME DE FRANCE,PRIVE,ABBEVILLE,SOMME,118.7,75.3
5530,ST CHARLES,PRIVE,MANOSQUE,ALPES-DE-HTE-PROVENCE,118.7,55.9
5531,ALAIN FOURNIER,PUBLIC,CLAMART,HAUTS-DE-SEINE,118.7,63.9
5532,LA MARE AUX CHAMPS,PUBLIC,VAUX-LE-PENIL,SEINE-ET-MARNE,118.7,61.3
5533,CAMILLE GUERIN,PUBLIC,POITIERS,VIENNE,118.7,70.5
5534,JULES FERRY,PUBLIC,AURILLAC,CANTAL,118.8,62.9
5535,COLLINES DURANCE,PUBLIC,MALLEMORT,BOUCHES-DU-RHONE,118.8,49.7
5536,MAINTENON,PRIVE,SOMMIERES,GARD,118.8,64.3
5537,JEAN RACINE,PUBLIC,SAINT-GEORGES-SUR-LOIRE,MAINE-ET-LOIRE,118.8,62.1
5538,STELLA MARIS,PRIVE,ANGLET,PYRENEES-ATLANTIQUES,118.9,64.5
5539,GEORGES BRASSENS,PUBLIC,ESVRES,INDRE-ET-LOIRE,118.9,53.9
5540,BELLEVUE,PUBLIC,TOULOUSE,HAUTE-GARONNE,118.9,58.1
5541,SAINTE-THERESE,PRIVE,FRONTIGNAN,HERAULT,118.9,58.4
5542,LOUIS HAYET,PUBLIC,CORMEILLES-EN-PARISIS,VAL-D'OISE,118.9,50.3
5543,JEANNE D ARC,PRIVE,BEAUMONT-SUR-OISE,VAL-D'OISE,118.9,37.6
5544,MOZART,PUBLIC,BOIS-D'ARCY,YVELINES,118.9,54.1
5545,LOUIS ARMAND,PUBLIC,CRUSEILLES,HAUTE SAVOIE,118.9,66.4
5546,SAINTE JEANNE D ARC,PRIVE,BRIGNOLES,VAR,118.9,65.6
5547,SAINT JOSEPH,PRIVE,SAINT-SATURNIN,PUY-DE-DOME,119.0,29.9
5548,FENELON,PRIVE,VAUJOURS,SEINE-SAINT-DENIS,119.0,57.9
5549,GASTON FLAMENT,PUBLIC,MARCHEPRIME,GIRONDE,119.0,65.1
5550,NICOLAS DE STAEL,PUBLIC,MAISONS-ALFORT,VAL-DE-MARNE,119.0,59.4
5551,CHARLES DE GAULLE,PUBLIC,PLOEMEUR,MORBIHAN,119.0,74.2
5552,SAINTE MARTHE-CHAVAGNES,PRIVE,ANGOULEME,CHARENTE,119.0,59.8
5553,ALBERT CAMUS,PUBLIC,LA TOUR-D'AIGUES,VAUCLUSE,119.1,47.7
5554,DAVID D ANGERS,PUBLIC,ANGERS,MAINE-ET-LOIRE,119.1,66.8
5555,BLANCHE DE CASTILLE,PUBLIC,LA CHAPELLE-LA-REINE,SEINE-ET-MARNE,119.1,49.3
5556,SAINT EXUPERY,PUBLIC,LA MONTAGNE,LOIRE-ATLANTIQUE,119.1,55.8
5557,ALBERT CAMUS,PUBLIC,FRONTENAY-ROHAN-ROHAN,DEUX-SEVRES,119.1,62.1
5558,DE LATTRE,PUBLIC,LE PERREUX-SUR-MARNE,VAL-DE-MARNE,119.1,55.1
5559,LE VIGNET,PUBLIC,CALVISSON,GARD,119.1,54.7
5560,SAINT LOUIS,PRIVE,PONT-L'ABBE-D'ARNOULT,CHARENTE-MARITIME,119.1,73.1
5561,DE LA PLAINE DE L'AIN,PUBLIC,LEYMENT,AIN,119.2,59.5
5562,LE SACRE-COEUR,PRIVE,VANNES,MORBIHAN,119.2,71.7
5563,SAINT JOSEPH,PRIVE,SAINT-JUST-SAINT-RAMBERT,LOIRE,119.2,58.1
5564,SANCTA MARIA,PRIVE,VILLENEUVE-LES-AVIGNON,GARD,119.2,73.9
5565,PIERRE JELIOTE,PUBLIC,LASSEUBE,PYRENEES-ATLANTIQUES,119.2,69.2
5566,ST LOUIS,PRIVE,LE MANS,SARTHE,119.2,64.9
5567,AUGUSTE BRIZEUX,PUBLIC,QUIMPER,FINISTERE,119.2,73.9
5568,INSTITUT SAINT-LO,PRIVE,AGNEAUX,MANCHE,119.3,72.2
5569,ANDREE RECIPON,PUBLIC,ORGERES,ILLE-ET-VILAINE,119.3,64.1
5570,SAINT-HELIER,PRIVE,RENNES,ILLE-ET-VILAINE,119.3,62.8
5571,HELENE BOUCHER,PUBLIC,PARIS 20E  ARRONDISSEMENT,PARIS,119.3,60.4
5572,SAINT ANDRE,PRIVE,REIMS,MARNE,119.3,60.2
5573,NOTRE DAME DU MAS,PRIVE,VAL D'OINGT,RHONE,119.3,54.4
5574,SACRE COEUR,PRIVE,JAUNAY-MARIGNY,VIENNE,119.3,59.9
5575,JEAN GUITON,PUBLIC,LAGORD,CHARENTE-MARITIME,119.3,64.4
5576,ST JOSEPH,PRIVE,ANCENIS-SAINT-GEREON,LOIRE-ATLANTIQUE,119.3,57.1
5577,STE THERESE,PRIVE,QUIMPER,FINISTERE,119.3,67.5
5578,DES COLLINES,PUBLIC,CHIRENS,ISERE,119.3,42.7
5579,ST LAUD,PRIVE,LES PONTS-DE-CE,MAINE-ET-LOIRE,119.3,49.3
5580,LES CHALETS,PUBLIC,TOULOUSE,HAUTE-GARONNE,119.3,68.5
5581,LE MASSEGU,PUBLIC,VIF,ISERE,119.4,53.5
5582,ALBERT CAMUS,PUBLIC,MONTBAZON,INDRE-ET-LOIRE,119.4,48.1
5583,GUILLAUME APOLLINAIRE,PUBLIC,PLAISIR,YVELINES,119.4,51.4
5584,DES HAUTIERS,PUBLIC,MARINES,VAL-D'OISE,119.4,43.5
5585,ANNA DE NOAILLES,PUBLIC,LUZARCHES,VAL-D'OISE,119.4,51.1
5586,JEAN FRANCO,PUBLIC,SAINT-ETIENNE-DE-TINEE,ALPES-MARITIMES,119.4,48.1
5587,JEANNE D'ARC,PRIVE,MULHOUSE,HAUT-RHIN,119.4,65.6
5588,CHRISTINE DE PISAN,PUBLIC,PERTHES,SEINE-ET-MARNE,119.4,57.0
5589,LA MADELEINE LA RETRAITE,PRIVE,ANGERS,MAINE-ET-LOIRE,119.4,59.6
5590,PIERRE DE RONSARD,PUBLIC,MORNANT,RHONE,119.4,65.7
5591,BEAUPEYRAT,PRIVE,LIMOGES,HAUTE-VIENNE,119.4,40.3
5592,NOTRE-DAME PERRIER,PRIVE,CHALONS-EN-CHAMPAGNE,MARNE,119.4,60.7
5593,DU BOIS D'AULNE,PUBLIC,CONFLANS-SAINTE-HONORINE,YVELINES,119.5,52.6
5594,MARTIN LUTHER KING,PUBLIC,LIFFRE,ILLE-ET-VILAINE,119.5,68.9
5595,SAINT EUTROPE (QUARTIER),PUBLIC,AIX-EN-PROVENCE,BOUCHES-DU-RHONE,119.5,58.0
5596,ST JEAN-BAPTISTE DE LA SALLE,PRIVE,VALENCIENNES,NORD,119.5,65.4
5597,GUY DE MAUPASSANT,PUBLIC,HOUILLES,YVELINES,119.5,51.1
5598,ECOLE DES MISSIONS AFRICAINES,PRIVE,HAGUENAU,BAS-RHIN,119.5,66.1
5599,JACQUES DE TRISTAN,PUBLIC,CLERY-SAINT-ANDRE,LOIRET,119.6,51.6
5600,ORATOIRE SAINTE-MARIE,PRIVE,AUCH,GERS,119.6,56.3
5601,JEANNE D'ARC,PRIVE,SAINTES,CHARENTE-MARITIME,119.6,62.5
5602,JOSEPH ET XAVIER DE MAISTRE,PUBLIC,SAINT-ALBAN-LEYSSE,SAVOIE,119.6,57.0
5603,ROCHER DU DRAGON,PUBLIC,AIX-EN-PROVENCE,BOUCHES-DU-RHONE,119.6,61.0
5604,JULES VERNE,PUBLIC,VILLEBON-SUR-YVETTE,ESSONNE,119.6,54.3
5605,CAMPRA,PUBLIC,AIX-EN-PROVENCE,BOUCHES-DU-RHONE,119.6,46.5
5606,GUILLAUME BUDE,PUBLIC,YERRES,ESSONNE,119.6,48.3
5607,SAINTE-MARIE LA SALLE,PRIVE,MONTPELLIER,HERAULT,119.7,69.8
5608,STE PHILOMENE,PRIVE,COUERON,LOIRE-ATLANTIQUE,119.7,49.9
5609,THEODORE MONOD,PUBLIC,CLARENSAC,GARD,119.7,65.0
5610,JULES VERNE,PUBLIC,ANGOULEME,CHARENTE,119.7,64.1
5611,ANTOINE DE SAINT EXUPERY,PUBLIC,FRESNES,VAL-DE-MARNE,119.7,60.1
5612,SAINTE JEANNE D ARC,PRIVE,TOURS,INDRE-ET-LOIRE,119.8,47.7
5613,SAINTE FAMILLE,PRIVE,AMIENS,SOMME,119.8,65.9
5614,SAINTE MARIE,PRIVE,CANNES,ALPES-MARITIMES,119.8,75.8
5615,HECTOR MALOT,PUBLIC,LE MESNIL-ESNARD,SEINE MARITIME,119.8,63.2
5616,PAUL VERLAINE,PUBLIC,EVRECY,CALVADOS,119.8,55.6
5617,JEAN ROSTAND,PUBLIC,ORVAULT,LOIRE-ATLANTIQUE,119.8,58.2
5618,ST JOSEPH,PRIVE,PERIGUEUX,DORDOGNE,119.8,63.1
5619,GALILEE,PUBLIC,LA SALVETAT-SAINT-GILLES,HAUTE-GARONNE,119.8,59.8
5620,ST JEAN-BAPTISTE,PRIVE,GUERANDE,LOIRE-ATLANTIQUE,119.8,55.1
5621,ST VINCENT,PRIVE,BRISSAC LOIRE AUBANCE,MAINE-ET-LOIRE,119.9,45.6
5622,JULES LEQUIER,PUBLIC,PLERIN,COTES D'ARMOR,119.9,63.0
5623,LA CERISAIE,PUBLIC,CHARENTON-LE-PONT,VAL-DE-MARNE,119.9,51.7
5624,BENJAMIN FRANKLIN,PUBLIC,EPONE,YVELINES,119.9,36.7
5625,JEAN-CLAUDE CHABANNE,PUBLIC,PONTOISE,VAL-D'OISE,119.9,53.2
5626,SAINT JOSEPH,PRIVE,BESANCON,DOUBS,120.0,62.1
5627,SAINTE THERESE,PRIVE,ECOUEN,VAL-D'OISE,120.0,61.6
5628,LA TUILERIE,PUBLIC,SAINT-GERMAIN-LES-CORBEIL,ESSONNE,120.0,43.8
5629,LE PARMELAN,PUBLIC,GROISY,HAUTE SAVOIE,120.0,60.3
