,nom,public_prive,commune,departement,ips,taux_mention_bien+
116,WOLF,PUBLIC,MULHOUSE,HAUT-RHIN,66.8,37.9
117,LA RABIERE,PUBLIC,JOUE-LES-TOURS,INDRE-ET-LOIRE,67.0,20.2
118,HIPPOLYTE FOUCQUE,PUBLIC,SAINTE-SUZANNE,LA REUNION,67.0,38.3
119,LEON BLUM,PUBLIC,VILLIERS-LE-BEL,VAL-D'OISE,67.1,27.3
120,HENRI MATISSE,PUBLIC,BOHAIN-EN-VERMANDOIS,AISNE,67.4,30.8
121,MAURICE JAUBERT,PUBLIC,NICE,ALPES-MARITIMES,67.4,29.7
122,PABLO NERUDA,PUBLIC,EVREUX,EURE,67.4,39.0
123,TURGOT,PUBLIC,DENAIN,NORD,67.4,27.7
124,ALEXANDRE DUMAS,PUBLIC,MARSEILLE 14E  ARRONDISSEMENT,BOUCHES-DU-RHONE,67.5,25.6
125,MARTHE LEFEVRE,PUBLIC,SAINT-QUENTIN,AISNE,67.5,26.5
126,QUARTIER D'ORLEANS,PUBLIC,SAINT-MARTIN,GUADELOUPE,67.6,24.0
127,RAYMOND BADIOU,PUBLIC,TOULOUSE,HAUTE-GARONNE,67.6,38.3
128,PIERRE NORANGE,PUBLIC,SAINT-NAZAIRE,LOIRE-ATLANTIQUE,67.9,30.8
129,ARTHUR RIMBAUD,PUBLIC,MONTPELLIER,HERAULT,67.9,40.7
130,JULES REYDELLET,PUBLIC,SAINT-DENIS,LA REUNION,67.9,30.7
131,TERRAIN FAYARD,PUBLIC,SAINT-ANDRE,LA REUNION,67.9,41.6
132,BAYARD,PUBLIC,DENAIN,NORD,68.0,27.7
133,ANATOLE FRANCE,PUBLIC,SARCELLES,VAL-D'OISE,68.0,31.2
134,JACQUES BREL,PUBLIC,LOUVROIL,NORD,68.0,30.5
135,JEAN MERMOZ,PUBLIC,ANGERS,MAINE-ET-LOIRE,68.0,42.0
136,MENDES-FRANCE,PUBLIC,TOURCOING,NORD,68.1,28.5
137,LUCIE AUBRAC GEANTS,PUBLIC,GRENOBLE,ISERE,68.1,34.8
138,FRANCOIS VILLON,PUBLIC,MULHOUSE,HAUT-RHIN,68.2,29.9
139,JULES FERRY,PUBLIC,ANZIN,NORD,68.3,22.3
140,ALBERT CAMUS,PUBLIC,DIEPPE,SEINE MARITIME,68.3,37.4
141,AUGUSTE PERIER,PUBLIC,HAUTMONT,NORD,68.3,48.3
142,LA FONTAINE,PUBLIC,LAXOU,MEURTHE-ET-MOSELLE,68.3,41.7
143,AIME CESAIRE DE BASSE POINTE,PUBLIC,BASSE-POINTE,MARTINIQUE,68.5,27.9
144,ROBERT SCHUMAN,PUBLIC,BEHREN-LES-FORBACH,MOSELLE,68.5,35.5
145,PAUL LANGEVIN,PUBLIC,SALLAUMINES,PAS-DE-CALAIS,68.5,37.1
146,JULES ROMAINS,PUBLIC,NICE,ALPES-MARITIMES,68.5,30.7
147,STEPHANE MALLARME,PUBLIC,MARSEILLE 13E  ARRONDISSEMENT,BOUCHES-DU-RHONE,68.6,28.4
148,CELIMENE GAUDIEUX,PUBLIC,SAINT-PAUL,LA REUNION,68.6,46.7
149,DESCARTES,PUBLIC,LE HAVRE,SEINE MARITIME,68.6,23.8
150,JEAN VILAR,PUBLIC,GRIGNY,ESSONNE,68.6,23.7
151,ALPHONSE DAUDET,PUBLIC,CARPENTRAS,VAUCLUSE,68.7,30.7
152,ROSA PARKS,PUBLIC,CHATEAUROUX,INDRE,68.7,32.8
153,JULES VERNE,PUBLIC,NIMES,GARD,68.7,38.0
154,ST JEAN,PRIVE,MONTVAL-SUR-LOIR,SARTHE,68.7,37.8
155,ANDRE MALRAUX,PUBLIC,MONTEREAU-FAULT-YONNE,SEINE-ET-MARNE,68.7,31.5
156,PAUL FORT,PUBLIC,REIMS,MARNE,68.7,35.9
157,JOSQUIN DES PRES,PUBLIC,CONDE-SUR-L'ESCAUT,NORD,68.7,41.4
158,DE BANDRELE,PUBLIC,BANDRELE,MAYOTTE,68.8,27.7
159,CHALOUPE ST-LEU,PUBLIC,SAINT-LEU,LA REUNION,68.8,51.1
160,PYTHEAS,PUBLIC,MARSEILLE 14E  ARRONDISSEMENT,BOUCHES-DU-RHONE,68.8,39.8
161,VAUGUYON,PUBLIC,LE MANS,SARTHE,68.9,34.8
162,SAINT EXUPERY,PUBLIC,VILLIERS-LE-BEL,VAL-D'OISE,68.9,29.1
163,OUANGANI,PUBLIC,OUANGANI,MAYOTTE,68.9,12.5
164,PAUL RIQUET,PUBLIC,BEZIERS,HERAULT,68.9,34.1
165,SAINT-EXUPERY,PUBLIC,MULHOUSE,HAUT-RHIN,69.0,35.5
166,VILLARS,PUBLIC,DENAIN,NORD,69.0,29.3
167,STOCKFELD,PUBLIC,STRASBOURG,BAS-RHIN,69.0,22.9
168,DU MOULIN,PUBLIC,GRANDE-SYNTHE,NORD,69.1,44.6
169,HANS ARP,PUBLIC,STRASBOURG,BAS-RHIN,69.1,35.5
170,JEAN ZAY,PUBLIC,BONDY,SEINE-SAINT-DENIS,69.2,20.9
171,PASTEUR,PUBLIC,MANTES-LA-JOLIE,YVELINES,69.2,28.2
172,LES ALIZES,PUBLIC,SAINT-DENIS,LA REUNION,69.2,41.2
173,JACQUES MONOD,PUBLIC,LE HAVRE,SEINE MARITIME,69.2,25.3
174,FREDERIC MISTRAL,PUBLIC,PORT-DE-BOUC,BOUCHES-DU-RHONE,69.2,28.5
175,ELIE CASTOR,PUBLIC,SINNAMARY,GUYANE,69.3,26.8
176,LE CHAPITRE,PUBLIC,CHENOVE,COTE D'OR,69.4,24.1
177,AUXENCE CONTOUT,PUBLIC,CAYENNE,GUYANE,69.4,22.1
178,LA CHARME,PUBLIC,CLERMONT-FERRAND,PUY-DE-DOME,69.4,45.2
